"","Distance","Rsquare","Number"
"1",100,0.254175910836073,7592
"2",200,0.11641527737701,40
"3",300,0.079609280281855,31
"4",400,0.0878988388714801,20
"5",500,0.0491251220491368,9
"6",600,0.0401982582380036,9
"7",700,0.0580716815930312,18
"8",800,0.0403258959295625,8
"9",900,0.0238091766478599,7
"10",1000,0.0378603148665677,6
"11",1100,0.149111561960351,5
"12",1200,0.0182913270961566,4
"13",1300,0.00113494351635668,1
"14",1400,0.0283084152790462,2
"15",1500,0.0233523322546155,3
"16",1600,NA,0
"17",1700,0.389592786118234,2
"18",1800,0.121992915378281,2
"19",1900,0.0193483921299559,4
"20",2000,0.0122281913488353,2
"21",2100,0.0796574879250544,5
"22",2200,0.00139805468247771,2
"23",2300,0.0223974272466167,4
"24",2400,0.00432265664768895,1
"25",2500,0.00655770874336616,1
"26",2600,0.0020638802229517,2
"27",2700,0.0258092804983239,3
"28",2800,0.0810624437335922,5
"29",2900,0.00967292286691583,2
"30",3000,0.0377536619982596,4
"31",3100,0.0146116064148839,1
"32",3200,0.000949429616816507,2
"33",3300,NA,0
"34",3400,NA,0
"35",3500,0.00715707642135459,1
"36",3600,0.00483947142897737,2
"37",3700,0.00446021254027964,1
"38",3800,0.0201651152200854,3
"39",3900,0.0457056181185096,3
"40",4000,0.0158451540217356,2
"41",4100,9.17293386626193e-07,1
"42",4200,0.0419961405310873,2
"43",4300,NA,0
"44",4400,0.00149729202053116,2
"45",4500,0.00148277879424947,2
"46",4600,0.0262781823483298,1
"47",4700,0.00160837662463474,1
"48",4800,4.39027648420135e-06,1
"49",4900,0.00748537048052345,1
"50",5000,0.233460998126227,2
"51",5100,0.106445657772406,2
"52",5200,0.0955960015169081,1
"53",5300,NA,0
"54",5400,0.0281174668897435,2
"55",5500,0.00393655693892248,2
"56",5600,0.0548639227974439,3
"57",5700,0.0815043358607851,1
"58",5800,0.0221155275080918,3
"59",5900,0.0128066106835997,1
"60",6000,0.0206988086632356,3
"61",6100,NA,0
"62",6200,NA,0
"63",6300,0.000602672581369648,1
"64",6400,NA,0
"65",6500,NA,0
"66",6600,0.0928995525174547,3
"67",6700,0.0001782167337279,2
"68",6800,0.000191590476138781,1
"69",6900,0.00700881386348468,1
"70",7000,NA,0
"71",7100,0.173156785001209,1
"72",7200,0.000108509060865673,1
"73",7300,NA,0
"74",7400,NA,0
"75",7500,0.162385223705413,3
"76",7600,NA,0
"77",7700,NA,0
"78",7800,NA,0
"79",7900,NA,0
"80",8000,0.0100330563509836,1
"81",8100,0.000210219309671928,2
"82",8200,NA,0
"83",8300,NA,0
"84",8400,0.185431839253198,2
"85",8500,0.0853520672818451,3
"86",8600,NA,0
"87",8700,NA,0
"88",8800,0.0017576542756263,1
"89",8900,0.0675423084383897,1
"90",9000,6.56440874313181e-05,1
"91",9100,NA,0
"92",9200,0.0380426524128221,3
"93",9300,NA,0
"94",9400,0.00351919122380537,1
"95",9500,0.0500905044180793,1
"96",9600,0.189082992767017,2
"97",9700,0.00234039535130601,1
"98",9800,NA,0
"99",9900,NA,0
