"","Distance","Rsquare","Number"
"1",100,0.247147361456421,7425
"2",200,0.108197666342971,44
"3",300,0.0860805085629433,30
"4",400,0.0442200960476558,22
"5",500,0.0618441176408689,16
"6",600,0.102191818850364,9
"7",700,0.0554307842365565,13
"8",800,0.0537941447607402,8
"9",900,0.0226936672923311,9
"10",1000,0.0277881579346806,7
"11",1100,0.124029176418092,6
"12",1200,0.020356364723965,3
"13",1300,0.220122794744385,3
"14",1400,0.0703414402912892,7
"15",1500,0.122367228612745,4
"16",1600,0.100471262834524,3
"17",1700,0.0182555496020513,2
"18",1800,0.00413298073829973,4
"19",1900,0.0213684948368641,4
"20",2000,NA,0
"21",2100,0.0395480939674407,4
"22",2200,0.000328349486204645,2
"23",2300,0.0186783368363595,5
"24",2400,0.00432265664768895,1
"25",2500,0.000105711981063856,2
"26",2600,NA,0
"27",2700,0.0385173864108792,2
"28",2800,0.00375459624761751,4
"29",2900,0.00737024706268847,3
"30",3000,0.00679673340251644,1
"31",3100,NA,0
"32",3200,0.00131246004147067,1
"33",3300,0.00776538292734239,3
"34",3400,0.00271346810609232,2
"35",3500,0.0131437290467686,3
"36",3600,0.0352263551263087,3
"37",3700,0.187032628055247,1
"38",3800,0.0216886022739637,3
"39",3900,0.0113431547744099,3
"40",4000,0.00143957921985499,3
"41",4100,NA,0
"42",4200,0.222053760275548,3
"43",4300,NA,0
"44",4400,0.00275779538440099,1
"45",4500,0.00148277879424947,2
"46",4600,0.0434077974267957,1
"47",4700,NA,0
"48",4800,0.0014466741544536,3
"49",4900,0.00748537048052345,1
"50",5000,0.0254153892342433,2
"51",5100,0.0717626022807183,3
"52",5200,NA,0
"53",5300,0.0108536796535015,1
"54",5400,0.0186678302614273,2
"55",5500,0.00336324981889749,3
"56",5600,0.00805376701900651,2
"57",5700,0.0408172135402447,2
"58",5800,0.0104145192254976,2
"59",5900,NA,0
"60",6000,0.0586097523575648,2
"61",6100,NA,0
"62",6200,NA,0
"63",6300,0.0233799382527449,3
"64",6400,NA,0
"65",6500,NA,0
"66",6600,0.0897063853429678,2
"67",6700,7.50284796969355e-05,1
"68",6800,0.00033655555084306,1
"69",6900,NA,0
"70",7000,0.000312480497757739,1
"71",7100,0.14550517784405,1
"72",7200,0.00104666564574465,1
"73",7300,NA,0
"74",7400,4.22441824950124e-05,1
"75",7500,0.108372852678529,1
"76",7600,0.000382501035896709,1
"77",7700,0.0172828155913735,1
"78",7800,NA,0
"79",7900,0.00272217569575474,1
"80",8000,0.0100330563509836,1
"81",8100,0.000368556128447018,1
"82",8200,NA,0
"83",8300,NA,0
"84",8400,0.133004162708751,3
"85",8500,0.0223659976295804,2
"86",8600,5.93416750832545e-05,1
"87",8700,NA,0
"88",8800,0.0017576542756263,1
"89",8900,0.0675423084383897,1
"90",9000,6.56440874313181e-05,1
"91",9100,NA,0
"92",9200,0.405053937030913,2
"93",9300,0.000398134446953436,2
"94",9400,0.00478990135395893,4
"95",9500,0.0100439149290461,2
"96",9600,0.205198085888599,2
"97",9700,0.203738937418505,1
"98",9800,0.0496776615804083,1
"99",9900,NA,0
