MAF,"0,01","0,02","0,03","0,04","0,05"
PC1,"277,093","257,754","236,092","222,974","213,904"
PC2,"142,631","107,067","102,406","97,5013","93,8908"
PC3,"103,641","66,6524","53,5646","47,0041","41,9935"
PC4,"41,961","32,7333","32,2995","32,5087","32,6888"
PC5,"30,0287","25,9769","23,8628","25,0475","26,0384"
PC6,"28,3753","23,1126","21,998","21,7735","21,8303"
PC7,"24,2938","20,727","20,3529","19,627","18,9501"
PC8,"21,3764","18,851","17,5516","16,6953","15,4403"
PC9,"18,5242","17,4255","14,829","14,8267","14,7235"
PC10,"16,0537","14,7028","14,252","12,6057","12,2564"
PC11,"15,5057","13,8622","11,9018","12,2557","11,5784"
PC12,"13,9009","11,48","10,4115","10,5134","10,7197"
PC13,"12,5054","11,0902","10,1934","9,46624","9,42283"
PC14,"11,2303","9,53767","9,62728","9,22394","9,15139"
PC15,"10,1986","9,48737","9,4167","8,97704","8,91799"
PC16,"9,41796","8,75781","8,73774","8,81152","8,58768"
PC17,"8,73246","8,40286","8,71625","8,64071","8,4373"
PC18,"8,44912","8,02906","8,05696","8,28967","8,16382"
PC19,"7,46418","7,55649","7,14984","7,31794","7,44348"
PC20,"7,41464","7,42162","7,01978","7,26107","7,38258"
