CHR,BIN_START,BIN_END,midBP,n_all,n_PC1,r_PC1,n_PC2,r_PC2,n_PC3,r_PC3,r_PC1_scaled,r_PC2_scaled,r_PC3_scaled
chr1R,0,25000000,12500000,80,0,0,1,0.0125,0,0,0,0.005780346820809248,0
chr1R,25000000,50000000,37500000,55,1,0.01818181818181818,0,0,0,0,0.005780346820809248,0,0
chr1R,50000000,75000000,62500000,79,1,0.012658227848101266,0,0,0,0,0.005780346820809248,0,0
chr1R,75000000,100000000,87500000,67,0,0,0,0,0,0,0,0,0
chr1R,100000000,125000000,112500000,54,2,0.037037037037037035,0,0,0,0,0.011560693641618497,0,0
chr1R,125000000,150000000,137500000,23,0,0,0,0,0,0,0,0,0
chr1R,150000000,175000000,162500000,21,0,0,0,0,0,0,0,0,0
chr1R,225000000,250000000,237500000,3,0,0,0,0,0,0,0,0,0
chr1R,250000000,275000000,262500000,1,0,0,0,0,0,0,0,0,0
chr1R,275000000,300000000,287500000,12,1,0.08333333333333333,0,0,0,0,0.005780346820809248,0,0
chr1R,300000000,325000000,312500000,8,0,0,0,0,0,0,0,0,0
chr1R,325000000,350000000,337500000,2,0,0,0,0,0,0,0,0,0
chr1R,350000000,375000000,362500000,11,0,0,0,0,0,0,0,0,0
chr1R,375000000,400000000,387500000,31,0,0,0,0,1,0.03225806451612903,0,0,0.005780346820809248
chr1R,400000000,425000000,412500000,91,0,0,0,0,0,0,0,0,0
chr1R,425000000,450000000,437500000,37,0,0,0,0,0,0,0,0,0
chr1R,450000000,475000000,462500000,73,2,0.0273972602739726,1,0.0136986301369863,0,0,0.011560693641618497,0.005780346820809248,0
chr1R,475000000,500000000,487500000,35,0,0,0,0,0,0,0,0,0
chr1R,500000000,525000000,512500000,50,1,0.02,0,0,0,0,0.005780346820809248,0,0
chr1R,525000000,550000000,537500000,33,0,0,0,0,0,0,0,0,0
chr1R,550000000,575000000,562500000,82,2,0.024390243902439025,0,0,1,0.012195121951219513,0.011560693641618497,0,0.005780346820809248
chr1R,575000000,600000000,587500000,69,0,0,2,0.028985507246376812,0,0,0,0.011560693641618497,0
chr1R,600000000,625000000,612500000,101,1,0.009900990099009901,2,0.019801980198019802,0,0,0.005780346820809248,0.011560693641618497,0
chr1R,625000000,650000000,637500000,103,0,0,0,0,1,0.009708737864077669,0,0,0.005780346820809248
chr1R,650000000,675000000,662500000,60,0,0,0,0,0,0,0,0,0
chr1R,675000000,700000000,687500000,143,1,0.006993006993006993,3,0.02097902097902098,2,0.013986013986013986,0.005780346820809248,0.017341040462427744,0.011560693641618497
chr1R,700000000,725000000,712500000,119,1,0.008403361344537815,0,0,0,0,0.005780346820809248,0,0
chr1R,725000000,750000000,737500000,10,1,0.1,0,0,1,0.1,0.005780346820809248,0,0.005780346820809248
chr2R,0,25000000,12500000,136,3,0.022058823529411766,3,0.022058823529411766,0,0,0.017341040462427744,0.017341040462427744,0
chr2R,25000000,50000000,37500000,106,2,0.018867924528301886,2,0.018867924528301886,0,0,0.011560693641618497,0.011560693641618497,0
chr2R,50000000,75000000,62500000,75,1,0.013333333333333334,1,0.013333333333333334,0,0,0.005780346820809248,0.005780346820809248,0
chr2R,75000000,100000000,87500000,63,2,0.031746031746031744,1,0.015873015873015872,0,0,0.011560693641618497,0.005780346820809248,0
chr2R,100000000,125000000,112500000,52,1,0.019230769230769232,0,0,1,0.019230769230769232,0.005780346820809248,0,0.005780346820809248
chr2R,125000000,150000000,137500000,82,2,0.024390243902439025,3,0.036585365853658534,1,0.012195121951219513,0.011560693641618497,0.017341040462427744,0.005780346820809248
